# LHCb B -> K (a ->) mu mu excluded-region boundary, GKOZ re-interpretation
# Extracted from arXiv:2310.03524v3 / LHCb-constraints.pdf (dark-blue solid contour)
# Date: 2026-07-10
# Source y axis is 2 v_h/f_GKOZ (v_h = 246 GeV); converted here to the
# BC10 package convention 1/f_BNT = 2/f_GKOZ, i.e. invf = y_source/246.
# The excluded region lies above each chain; chains are clipped at the
# source frame top (invf = 3.25e-3) and left edge (m_a = 0.3 GeV).
# Gaps along the top edge are the LHCb charmonium veto windows.
# Format: chains separated by blank line; each row is "mass_GeV  invf_GeV_inv"
# mass_GeV  invf_GeV_inv
# chain 0: 89 vertices
6.24001e-01  1.10747e-06
6.24972e-01  1.10662e-06
6.25988e-01  1.10556e-06
6.26993e-01  1.10477e-06
6.27964e-01  1.10372e-06
6.28980e-01  1.10293e-06
6.29997e-01  1.10187e-06
6.30968e-01  1.10087e-06
6.33001e-01  1.09919e-06
6.33972e-01  1.09820e-06
6.34977e-01  1.09736e-06
6.35993e-01  1.09636e-06
6.36964e-01  1.09553e-06
6.37981e-01  1.09448e-06
6.38997e-01  1.09370e-06
6.39968e-01  1.09265e-06
6.42001e-01  1.09104e-06
6.42960e-01  1.09005e-06
6.43977e-01  1.08921e-06
6.44993e-01  1.08817e-06
6.45964e-01  1.08739e-06
6.46980e-01  1.08656e-06
6.47997e-01  1.08558e-06
6.48968e-01  1.08475e-06
6.49984e-01  1.08392e-06
6.50989e-01  1.08294e-06
6.51960e-01  1.05110e-06
6.52977e-01  1.05029e-06
6.53993e-01  1.04934e-06
6.54964e-01  1.04854e-06
6.55980e-01  1.04774e-06
6.56997e-01  1.04679e-06
6.57968e-01  1.04599e-06
6.59989e-01  1.04444e-06
6.60960e-01  1.04344e-06
6.62993e-01  1.04190e-06
6.63964e-01  1.04116e-06
6.64980e-01  1.04016e-06
6.65997e-01  1.03937e-06
6.66957e-01  1.03862e-06
6.67973e-01  1.03783e-06
6.68989e-01  1.03689e-06
6.69960e-01  1.03610e-06
6.70977e-01  1.06591e-06
6.71993e-01  1.06509e-06
6.72964e-01  1.06433e-06
6.73980e-01  1.09490e-06
6.74985e-01  1.09411e-06
6.75956e-01  1.09328e-06
6.77989e-01  1.09166e-06
6.78960e-01  1.09062e-06
6.80993e-01  1.08901e-06
6.81964e-01  1.08817e-06
6.83985e-01  1.08656e-06
6.84956e-01  1.08573e-06
6.86989e-01  1.08413e-06
6.87960e-01  1.08335e-06
6.88976e-01  1.11447e-06
6.89993e-01  1.11367e-06
6.90953e-01  1.11282e-06
6.92985e-01  1.11117e-06
6.93956e-01  1.11032e-06
6.94973e-01  1.10953e-06
6.95989e-01  1.07691e-06
6.96960e-01  1.07608e-06
6.98981e-01  1.07449e-06
6.99953e-01  1.07367e-06
7.01985e-01  1.07208e-06
7.02956e-01  1.04036e-06
7.03973e-01  1.03976e-06
7.04989e-01  1.03902e-06
7.05960e-01  1.03823e-06
7.07981e-01  1.03669e-06
7.08952e-01  1.03590e-06
7.10985e-01  1.03437e-06
7.11956e-01  1.03358e-06
7.13989e-01  1.03205e-06
7.14949e-01  1.03146e-06
7.16981e-01  1.02993e-06
7.17953e-01  1.02914e-06
7.18969e-01  9.98692e-07
7.19985e-01  9.97977e-07
7.20956e-01  9.97405e-07
7.22978e-01  9.95930e-07
7.23949e-01  9.95169e-07
7.25981e-01  9.93697e-07
7.26952e-01  9.93128e-07
7.28985e-01  9.91659e-07
7.29956e-01  9.90901e-07
7.30961e-01  9.90192e-07
7.31977e-01  9.89625e-07
7.32949e-01  9.88869e-07
7.34981e-01  9.87406e-07
7.35952e-01  9.86840e-07
7.36969e-01  9.57686e-07
7.37985e-01  9.56955e-07
7.38945e-01  9.56224e-07
7.39961e-01  9.55539e-07
7.40978e-01  9.83360e-07
7.41949e-01  1.01184e-06
7.42965e-01  1.01127e-06
7.43981e-01  1.04056e-06
7.44952e-01  1.07085e-06
7.45969e-01  1.10187e-06
7.46974e-01  1.10124e-06
7.47945e-01  1.10045e-06
7.48961e-01  1.06789e-06
7.49977e-01  1.06708e-06
7.50949e-01  1.06647e-06
7.51965e-01  1.06570e-06
7.52981e-01  1.06509e-06
7.53952e-01  1.06433e-06
7.54957e-01  1.06352e-06
7.55974e-01  1.06291e-06
7.56945e-01  1.06215e-06
7.57961e-01  1.06154e-06
7.58977e-01  1.06073e-06
7.59948e-01  1.05997e-06
7.60965e-01  1.05936e-06
7.61981e-01  1.05855e-06
7.62941e-01  1.05799e-06
7.64974e-01  1.05638e-06
7.65945e-01  1.05582e-06
7.66961e-01  1.05502e-06
7.67977e-01  1.05441e-06
7.68948e-01  1.05366e-06
7.69965e-01  1.05305e-06
7.70970e-01  1.05225e-06
7.71941e-01  1.05170e-06
7.72957e-01  1.05089e-06
7.73974e-01  1.05029e-06
7.74945e-01  1.04954e-06
7.75961e-01  1.04894e-06
7.76977e-01  1.04814e-06
7.77948e-01  1.04754e-06
7.78953e-01  1.04679e-06
7.79970e-01  1.04619e-06
7.80941e-01  1.04544e-06
7.81957e-01  1.04484e-06
7.82973e-01  1.07526e-06
7.83945e-01  1.10662e-06
7.84961e-01  1.13884e-06
7.85977e-01  1.17227e-06
7.86937e-01  1.20646e-06
7.88970e-01  1.13612e-06
7.89941e-01  1.10229e-06
8.29949e-01  9.83735e-07
8.30966e-01  9.82984e-07
8.31937e-01  9.53944e-07
8.32953e-01  9.53215e-07
8.33969e-01  9.24833e-07
8.34929e-01  9.51987e-07
8.35946e-01  9.51441e-07
8.36962e-01  9.50715e-07
8.37933e-01  9.78628e-07
8.38949e-01  9.78068e-07
8.39966e-01  9.77320e-07
8.40937e-01  9.76808e-07
8.41953e-01  9.76061e-07
8.42958e-01  9.75502e-07
8.43974e-01  9.74803e-07
8.44946e-01  9.45779e-07
8.45962e-01  9.45238e-07
8.46978e-01  9.44561e-07
8.47949e-01  9.44019e-07
8.49982e-01  9.42623e-07
8.50942e-01  9.42083e-07
8.52974e-01  9.40690e-07
8.53946e-01  9.40151e-07
8.55978e-01  9.38760e-07
8.56949e-01  9.38222e-07
8.58971e-01  9.36835e-07
8.59942e-01  9.36119e-07
8.61974e-01  9.34734e-07
8.62945e-01  9.34020e-07
8.63962e-01  9.33485e-07
8.64978e-01  9.32639e-07
8.65949e-01  9.31927e-07
8.67971e-01  9.30548e-07
8.68942e-01  9.29837e-07
8.69958e-01  9.29171e-07
8.70974e-01  9.28285e-07
8.71945e-01  9.00516e-07
8.72962e-01  8.99828e-07
8.73978e-01  8.98969e-07
8.74938e-01  8.98154e-07
8.75954e-01  8.97468e-07
8.76971e-01  8.96654e-07
8.77942e-01  8.95798e-07
8.79974e-01  8.94132e-07
8.80945e-01  8.93150e-07
8.81962e-01  8.92298e-07
8.82967e-01  9.18145e-07
8.83938e-01  9.17269e-07
8.85970e-01  9.15212e-07
8.86942e-01  9.14207e-07
8.87958e-01  9.13030e-07
8.88974e-01  9.11984e-07
8.89945e-01  8.84196e-07
8.90950e-01  8.83015e-07
8.91967e-01  8.81709e-07
8.92938e-01  8.80572e-07
8.93954e-01  8.79270e-07
8.94970e-01  8.77760e-07
8.95942e-01  8.50690e-07
8.97974e-01  8.47851e-07
8.98934e-01  8.46112e-07
8.99950e-01  8.44538e-07
9.00967e-01  8.42805e-07
9.01938e-01  8.40916e-07
9.02954e-01  8.39031e-07
9.03970e-01  8.36990e-07
9.04942e-01  8.60126e-07
9.05958e-01  8.57870e-07
9.06963e-01  8.55292e-07
9.07934e-01  8.52764e-07
9.08950e-01  8.50040e-07
9.09967e-01  8.47042e-07
9.10938e-01  8.44054e-07
9.11954e-01  8.40755e-07
9.12970e-01  8.62511e-07
9.13941e-01  8.58648e-07
9.14946e-01  8.54517e-07
9.15963e-01  8.50202e-07
9.16934e-01  8.71079e-07
9.17950e-01  8.65895e-07
9.18966e-01  8.60413e-07
9.19938e-01  8.80572e-07
9.20954e-01  8.73871e-07
9.21970e-01  8.66888e-07
9.22930e-01  8.85506e-07
9.23946e-01  8.77131e-07
9.24963e-01  8.94644e-07
9.25934e-01  8.84661e-07
9.26950e-01  9.00645e-07
9.27967e-01  8.88811e-07
9.28938e-01  9.03014e-07
9.29954e-01  8.88811e-07
9.30959e-01  9.00645e-07
9.31930e-01  9.11331e-07
9.32946e-01  8.92809e-07
9.33963e-01  9.03014e-07
9.42963e-01  9.03014e-07
9.43934e-01  8.75667e-07
9.47943e-01  8.75667e-07
9.48914e-01  3.25206e-03

# chain 3: 247 vertices
9.68991e-01  3.25206e-03
9.69963e-01  8.75667e-07
9.70922e-01  8.75667e-07
9.71939e-01  8.49269e-07
9.74942e-01  8.49269e-07
9.75959e-01  8.23510e-07
9.80939e-01  8.23510e-07
9.81955e-01  7.98724e-07
9.85930e-01  7.98724e-07
9.86935e-01  7.74498e-07
9.88922e-01  7.74498e-07
9.89939e-01  7.51043e-07
9.91926e-01  7.51043e-07
