# CODEX-b HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# mass_GeV  u2_min  u2_max
0.4200  2.370e-07  2.370e-07
0.4220  2.315e-07  2.315e-07
0.4240  2.263e-07  2.263e-07
0.4260  2.241e-07  2.241e-07
0.4262  2.241e-07  2.241e-07
0.4280  2.194e-07  2.194e-07
0.4300  2.147e-07  2.147e-07
0.4320  2.122e-07  2.122e-07
0.4340  2.073e-07  2.073e-07
0.4344  2.073e-07  2.073e-07
0.4360  2.036e-07  2.036e-07
0.4380  2.036e-07  2.036e-07
0.4400  2.036e-07  2.036e-07
0.4420  2.036e-07  2.036e-07
0.4428  2.036e-07  2.036e-07
0.4440  2.036e-07  2.036e-07
0.4460  1.997e-07  1.997e-07
0.4480  1.973e-07  1.973e-07
0.4500  1.924e-07  1.924e-07
0.4513  1.903e-07  1.903e-07
0.4600  1.767e-07  1.767e-07
0.4689  1.657e-07  1.657e-07
0.4779  1.610e-07  1.610e-07
0.4871  1.505e-07  1.505e-07
0.4965  1.390e-07  1.390e-07
0.5061  1.350e-07  1.350e-07
0.5158  1.303e-07  1.303e-07
0.5257  1.208e-07  1.208e-07
0.5359  1.141e-07  1.141e-07
0.5462  1.141e-07  1.141e-07
0.5567  1.096e-07  1.096e-07
0.5674  1.013e-07  1.013e-07
0.5784  9.633e-08  9.633e-08
0.5895  9.633e-08  9.633e-08
0.6008  9.062e-08  9.062e-08
0.6124  8.383e-08  8.383e-08
0.6242  8.136e-08  8.136e-08
0.6362  8.136e-08  8.136e-08
0.6485  7.595e-08  7.595e-08
0.6610  7.023e-08  7.023e-08
0.6737  6.856e-08  6.856e-08
0.6867  6.741e-08  6.741e-08
0.6999  6.264e-08  6.264e-08
0.7134  5.892e-08  5.892e-08
0.7271  5.810e-08  5.810e-08
0.7411  5.656e-08  5.656e-08
0.7554  5.235e-08  5.235e-08
0.7700  4.897e-08  4.897e-08
0.7848  4.897e-08  4.897e-08
0.7999  4.691e-08  4.691e-08
0.8153  4.392e-08  4.392e-08
0.8310  4.157e-08  4.157e-08
0.8470  4.157e-08  4.157e-08
0.8633  3.951e-08  3.951e-08
0.8799  3.660e-08  3.660e-08
0.8969  3.521e-08  3.521e-08
0.9142  3.521e-08  3.521e-08
0.9318  3.326e-08  3.326e-08
0.9497  3.064e-08  3.064e-08
0.9680  2.975e-08  3.029e-08
0.9867  2.975e-08  3.029e-08
1.0056  2.819e-08  7.706e-03
1.0250  2.645e-08  7.706e-03
1.0448  2.616e-08  7.706e-03
1.0649  2.616e-08  7.528e-03
1.0854  2.466e-08  7.507e-03
1.1063  2.301e-08  7.197e-03
1.1276  2.260e-08  6.083e-03
1.1493  2.176e-08  5.859e-03
1.1715  2.046e-08  5.690e-03
1.1940  1.889e-08  5.181e-03
1.2170  1.858e-08  4.991e-03
1.2405  1.839e-08  4.065e-03
1.2643  1.744e-08  3.841e-03
1.2887  1.681e-08  3.282e-03
1.3135  1.681e-08  2.804e-03
1.3388  1.675e-08  2.533e-03
1.3646  1.591e-08  2.064e-03
1.3909  1.485e-08  1.895e-03
1.4177  1.485e-08  1.526e-03
1.4450  1.485e-08  1.445e-03
1.4728  1.447e-08  1.238e-03
1.5011  1.426e-08  9.781e-04
1.5301  1.426e-08  7.932e-04
1.5595  1.426e-08  6.047e-04
1.5896  1.471e-08  5.386e-04
1.6000  1.503e-08  5.108e-04
1.6020  1.517e-08  5.016e-04
1.6040  1.517e-08  5.016e-04
1.6060  1.531e-08  4.927e-04
1.6080  1.531e-08  4.927e-04
1.6100  1.541e-08  4.854e-04
1.6120  1.541e-08  4.854e-04
1.6140  1.550e-08  4.761e-04
1.6160  1.550e-08  4.761e-04
1.6180  1.550e-08  4.761e-04
1.6200  1.558e-08  4.668e-04
1.6202  1.558e-08  4.668e-04
1.6220  1.558e-08  4.668e-04
1.6240  1.566e-08  4.577e-04
1.6260  1.566e-08  4.577e-04
1.6280  1.566e-08  4.492e-04
1.6300  1.566e-08  4.492e-04
1.6320  1.566e-08  4.384e-04
1.6340  1.566e-08  4.384e-04
1.6360  1.566e-08  4.384e-04
1.6380  1.566e-08  4.237e-04
1.6400  1.566e-08  4.237e-04
1.6420  1.566e-08  4.079e-04
1.6440  1.566e-08  4.079e-04
1.6460  1.566e-08  3.915e-04
1.6480  1.566e-08  3.915e-04
1.6500  1.566e-08  3.915e-04
1.6514  1.566e-08  3.751e-04
1.6520  1.566e-08  3.751e-04
1.6540  1.566e-08  3.751e-04
1.6560  1.566e-08  3.620e-04
1.6580  1.566e-08  3.620e-04
1.6600  1.566e-08  3.517e-04
1.6620  1.566e-08  3.517e-04
1.6640  1.566e-08  3.517e-04
1.6660  1.566e-08  3.454e-04
1.6680  1.566e-08  3.454e-04
1.6700  1.566e-08  3.388e-04
1.6720  1.566e-08  3.388e-04
1.6740  1.566e-08  3.322e-04
1.6760  1.566e-08  3.322e-04
1.6780  1.566e-08  3.322e-04
1.6800  1.566e-08  3.260e-04
1.6820  1.566e-08  3.260e-04
1.6832  1.566e-08  3.203e-04
1.6840  1.566e-08  3.203e-04
1.6860  1.566e-08  3.203e-04
1.6880  1.566e-08  3.125e-04
1.6900  1.566e-08  3.125e-04
1.6920  1.566e-08  3.125e-04
1.6940  1.566e-08  3.020e-04
1.6960  1.566e-08  3.020e-04
1.6980  1.574e-08  2.899e-04
1.7000  1.574e-08  2.899e-04
1.7020  1.584e-08  2.778e-04
1.7040  1.584e-08  2.778e-04
1.7060  1.584e-08  2.778e-04
1.7080  1.595e-08  2.667e-04
1.7100  1.595e-08  2.667e-04
1.7120  1.605e-08  2.577e-04
1.7140  1.605e-08  2.577e-04
1.7156  1.605e-08  2.577e-04
1.7160  1.619e-08  2.509e-04
1.7180  1.619e-08  2.509e-04
1.7200  1.619e-08  2.509e-04
1.7220  1.634e-08  2.464e-04
1.7240  1.634e-08  2.464e-04
1.7260  1.647e-08  2.412e-04
1.7280  1.647e-08  2.412e-04
1.7300  1.647e-08  2.412e-04
1.7320  1.658e-08  2.365e-04
1.7340  1.658e-08  2.365e-04
1.7360  1.669e-08  2.320e-04
1.7380  1.669e-08  2.320e-04
1.7400  1.679e-08  2.278e-04
1.7420  1.679e-08  2.278e-04
1.7440  1.679e-08  2.278e-04
1.7460  1.690e-08  2.243e-04
1.7480  1.690e-08  2.243e-04
1.7487  1.690e-08  2.243e-04
1.7500  1.700e-08  2.200e-04
1.7520  1.700e-08  2.200e-04
1.7540  1.700e-08  2.200e-04
1.7560  1.710e-08  2.157e-04
1.7580  1.710e-08  2.157e-04
1.7600  1.717e-08  2.111e-04
1.7620  1.717e-08  2.111e-04
1.7640  1.717e-08  2.111e-04
1.7660  1.717e-08  2.071e-04
1.7680  1.717e-08  2.071e-04
1.7700  1.717e-08  2.039e-04
1.7720  1.717e-08  2.039e-04
1.7740  1.717e-08  2.039e-04
1.7760  1.717e-08  2.020e-04
1.7780  1.717e-08  2.020e-04
1.7800  1.717e-08  2.013e-04
1.7820  1.717e-08  2.013e-04
1.7823  1.717e-08  2.013e-04
1.7840  1.717e-08  2.013e-04
1.7860  1.717e-08  2.000e-04
1.7880  1.717e-08  2.000e-04
1.7900  1.717e-08  1.984e-04
1.7920  1.717e-08  1.984e-04
1.7940  1.717e-08  1.984e-04
1.7960  1.740e-08  1.964e-04
1.7980  1.740e-08  1.964e-04
1.8000  1.769e-08  1.925e-04
1.8020  1.769e-08  1.925e-04
1.8040  1.769e-08  1.925e-04
1.8060  1.806e-08  1.873e-04
1.8080  1.806e-08  1.873e-04
1.8100  1.843e-08  1.811e-04
1.8120  1.843e-08  1.811e-04
1.8140  1.843e-08  1.811e-04
1.8160  1.875e-08  1.748e-04
1.8167  1.875e-08  1.748e-04
1.8180  1.875e-08  1.748e-04
1.8200  1.903e-08  1.686e-04
1.8220  1.903e-08  1.686e-04
1.8240  1.903e-08  1.686e-04
1.8260  1.924e-08  1.635e-04
1.8280  1.924e-08  1.635e-04
1.8300  1.940e-08  1.597e-04
1.8320  1.940e-08  1.597e-04
1.8340  1.940e-08  1.597e-04
1.8360  1.951e-08  1.574e-04
1.8380  1.951e-08  1.574e-04
1.8400  1.959e-08  1.559e-04
1.8420  1.959e-08  1.559e-04
1.8440  1.959e-08  1.559e-04
1.8460  1.963e-08  1.546e-04
1.8480  1.963e-08  1.546e-04
1.8500  1.968e-08  1.535e-04
1.8516  1.968e-08  1.535e-04
1.8520  1.968e-08  1.535e-04
1.8540  1.968e-08  1.535e-04
1.8560  1.979e-08  1.523e-04
1.8580  1.979e-08  1.523e-04
1.8600  1.979e-08  1.523e-04
1.8620  1.998e-08  1.512e-04
1.8640  1.998e-08  1.512e-04
1.8660  2.020e-08  1.498e-04
1.8680  2.020e-08  1.498e-04
1.8700  2.020e-08  1.498e-04
1.8720  2.046e-08  1.482e-04
1.8740  2.046e-08  1.482e-04
1.8760  2.074e-08  1.463e-04
1.8780  2.074e-08  1.463e-04
1.8800  2.074e-08  1.463e-04
1.8820  2.123e-08  1.442e-04
1.8840  2.123e-08  1.442e-04
1.8860  2.123e-08  1.442e-04
1.8873  2.189e-08  1.424e-04
1.8880  2.189e-08  1.424e-04
1.8900  2.189e-08  1.424e-04
1.8920  2.264e-08  1.411e-04
1.8940  2.264e-08  1.411e-04
1.8960  2.264e-08  1.411e-04
1.8980  2.352e-08  1.404e-04
1.9000  2.352e-08  1.404e-04
1.9020  2.352e-08  1.404e-04
1.9040  2.436e-08  1.404e-04
1.9060  2.436e-08  1.404e-04
1.9080  2.505e-08  1.404e-04
1.9100  2.505e-08  1.404e-04
1.9120  2.505e-08  1.404e-04
1.9140  2.541e-08  1.404e-04
1.9160  2.541e-08  1.404e-04
1.9180  2.541e-08  1.404e-04
1.9200  2.573e-08  1.404e-04
1.9220  2.573e-08  1.404e-04
1.9237  2.599e-08  1.404e-04
1.9240  2.599e-08  1.404e-04
1.9260  2.599e-08  1.404e-04
1.9280  2.599e-08  1.404e-04
1.9300  2.621e-08  1.404e-04
1.9320  2.621e-08  1.404e-04
1.9340  2.621e-08  1.404e-04
1.9360  2.636e-08  1.404e-04
1.9380  2.636e-08  1.404e-04
1.9400  2.643e-08  1.393e-04
1.9420  2.643e-08  1.393e-04
1.9440  2.643e-08  1.393e-04
1.9460  2.643e-08  1.380e-04
1.9480  2.643e-08  1.380e-04
1.9500  2.643e-08  1.380e-04
1.9520  2.643e-08  1.366e-04
1.9540  2.643e-08  1.366e-04
1.9560  2.653e-08  1.353e-04
1.9580  2.653e-08  1.353e-04
1.9600  2.653e-08  1.353e-04
1.9607  2.653e-08  1.353e-04
1.9620  2.668e-08  1.340e-04
1.9640  2.668e-08  1.340e-04
1.9660  2.668e-08  1.340e-04
1.9680  2.692e-08  1.325e-04
1.9700  2.692e-08  1.325e-04
1.9720  2.692e-08  1.325e-04
1.9740  2.725e-08  1.309e-04
1.9760  2.725e-08  1.309e-04
1.9780  2.765e-08  1.293e-04
1.9800  2.765e-08  1.293e-04
1.9820  2.765e-08  1.293e-04
1.9840  2.811e-08  1.277e-04
1.9860  2.811e-08  1.277e-04
1.9880  2.811e-08  1.277e-04
1.9900  2.865e-08  1.264e-04
1.9920  2.865e-08  1.264e-04
1.9940  2.865e-08  1.264e-04
1.9960  2.889e-08  1.251e-04
1.9980  2.889e-08  1.251e-04
1.9985  2.889e-08  1.251e-04
2.0000  2.889e-08  1.240e-04
2.0370  2.889e-08  1.078e-04
2.0762  2.889e-08  9.028e-05
2.1162  2.872e-08  7.524e-05
2.1569  2.872e-08  6.017e-05
2.1985  2.872e-08  5.165e-05
2.2408  2.924e-08  3.965e-05
2.2840  3.023e-08  2.913e-05
2.3279  3.023e-08  2.225e-05
2.3728  3.023e-08  1.781e-05
2.4185  3.109e-08  1.506e-05
2.4651  3.253e-08  1.176e-05
2.5125  3.289e-08  1.045e-05
2.5609  3.289e-08  8.233e-06
2.6103  3.289e-08  6.932e-06
2.6605  3.303e-08  5.724e-06
2.7118  5.500e-08  4.134e-06
2.7640  5.748e-08  3.003e-06
2.8172  6.461e-08  2.117e-06
2.8715  1.205e-07  1.937e-06
2.9268  1.606e-07  1.644e-06
2.9831  1.817e-07  1.345e-06
3.0406  1.974e-07  1.110e-06
3.0992  2.108e-07  1.020e-06
3.1588  2.215e-07  9.751e-07
3.2197  2.265e-07  2.272e-07
3.2817  2.268e-07  2.268e-07
