# FLArE HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# FLArE and FASER2 contours overlap to within line width across
# most of the mass range; values are co-located with FASER2_Umu.dat.
# mass_GeV  u2_min  u2_max
0.4160  2.713e-07  2.713e-07
0.4180  2.713e-07  2.713e-07
0.4182  2.713e-07  2.713e-07
0.4200  2.713e-07  2.713e-07
0.4220  2.713e-07  2.713e-07
0.4240  2.713e-07  2.713e-07
0.4260  2.713e-07  2.713e-07
0.4262  2.713e-07  2.713e-07
0.4280  2.713e-07  2.713e-07
0.4300  2.677e-07  2.677e-07
0.4320  2.648e-07  2.648e-07
0.4340  2.585e-07  2.585e-07
0.4344  2.585e-07  2.585e-07
0.4360  2.530e-07  2.530e-07
0.4380  2.507e-07  2.507e-07
0.4400  2.460e-07  2.460e-07
0.4420  2.419e-07  2.419e-07
0.4428  2.419e-07  2.419e-07
0.4440  2.407e-07  2.407e-07
0.4460  2.407e-07  2.407e-07
0.4480  2.407e-07  2.407e-07
0.4500  2.407e-07  2.407e-07
0.4513  2.407e-07  2.407e-07
0.4600  2.344e-07  2.344e-07
0.4689  2.172e-07  2.172e-07
0.4779  2.058e-07  2.058e-07
0.4871  2.058e-07  2.058e-07
0.4965  2.013e-07  2.013e-07
0.5061  1.880e-07  1.880e-07
0.5158  1.793e-07  1.793e-07
0.5257  1.793e-07  1.793e-07
0.5359  1.756e-07  1.756e-07
0.5462  1.650e-07  1.650e-07
0.5567  1.591e-07  1.591e-07
0.5674  1.591e-07  1.591e-07
0.5784  1.555e-07  1.555e-07
0.5895  1.452e-07  1.452e-07
0.6008  1.387e-07  1.387e-07
0.6124  1.387e-07  1.387e-07
0.6242  1.352e-07  1.352e-07
0.6362  1.254e-07  1.254e-07
0.6485  1.192e-07  1.192e-07
0.6610  1.192e-07  1.192e-07
0.6737  1.141e-07  1.141e-07
0.6867  1.055e-07  1.055e-07
0.6999  1.008e-07  1.008e-07
0.7134  1.008e-07  1.008e-07
0.7271  9.712e-08  9.712e-08
0.7411  9.058e-08  9.058e-08
0.7554  8.778e-08  8.778e-08
0.7700  8.778e-08  8.778e-08
0.7848  8.309e-08  8.309e-08
0.7999  7.721e-08  7.721e-08
0.8153  7.500e-08  7.500e-08
0.8310  7.446e-08  7.446e-08
0.8470  6.908e-08  6.908e-08
0.8633  6.371e-08  6.371e-08
0.8799  6.195e-08  6.195e-08
0.8969  5.892e-08  5.892e-08
0.9142  5.528e-08  5.528e-08
0.9318  5.109e-08  5.109e-08
0.9497  5.041e-08  5.041e-08
0.9680  4.659e-08  4.659e-08
0.9867  4.327e-08  4.327e-08
1.0056  4.107e-08  4.107e-08
1.0250  3.871e-08  3.871e-08
1.0448  3.633e-08  3.633e-08
1.0649  3.343e-08  3.343e-08
1.0854  3.272e-08  3.272e-08
1.1063  3.020e-08  3.020e-08
1.1276  2.793e-08  2.793e-08
1.1493  2.671e-08  2.671e-08
1.1715  2.635e-08  2.635e-08
1.1940  2.445e-08  2.445e-08
1.2170  2.272e-08  2.272e-08
1.2405  2.243e-08  2.243e-08
1.2643  2.190e-08  2.243e-08
1.2887  2.038e-08  2.243e-08
1.3135  1.934e-08  8.202e-03
1.3388  1.934e-08  8.202e-03
1.3646  1.901e-08  8.202e-03
1.3909  1.788e-08  7.887e-03
1.4177  1.708e-08  7.363e-03
1.4450  1.708e-08  6.970e-03
1.4728  1.704e-08  5.539e-03
1.5011  1.676e-08  5.377e-03
1.5301  1.676e-08  4.514e-03
1.5595  1.676e-08  4.027e-03
1.5896  1.707e-08  3.490e-03
1.6000  1.741e-08  3.269e-03
1.6020  1.756e-08  3.167e-03
1.6040  1.756e-08  3.167e-03
1.6060  1.774e-08  3.080e-03
1.6080  1.774e-08  3.080e-03
1.6100  1.793e-08  3.012e-03
1.6120  1.793e-08  3.012e-03
1.6140  1.811e-08  2.965e-03
1.6160  1.811e-08  2.965e-03
1.6180  1.811e-08  2.965e-03
1.6200  1.827e-08  2.946e-03
1.6202  1.827e-08  2.946e-03
1.6220  1.827e-08  2.946e-03
1.6240  1.842e-08  2.946e-03
1.6260  1.842e-08  2.946e-03
1.6280  1.857e-08  2.946e-03
1.6300  1.857e-08  2.946e-03
1.6320  1.871e-08  2.927e-03
1.6340  1.871e-08  2.927e-03
1.6360  1.871e-08  2.927e-03
1.6380  1.887e-08  2.903e-03
1.6400  1.887e-08  2.903e-03
1.6420  1.906e-08  2.855e-03
1.6440  1.906e-08  2.855e-03
1.6460  1.929e-08  2.790e-03
1.6480  1.929e-08  2.790e-03
1.6500  1.929e-08  2.790e-03
1.6514  1.956e-08  2.718e-03
1.6520  1.956e-08  2.718e-03
1.6540  1.956e-08  2.718e-03
1.6560  1.965e-08  2.637e-03
1.6580  1.965e-08  2.637e-03
1.6600  1.965e-08  2.559e-03
1.6620  1.965e-08  2.559e-03
1.6640  1.965e-08  2.559e-03
1.6660  1.965e-08  2.479e-03
1.6680  1.965e-08  2.479e-03
1.6700  1.965e-08  2.400e-03
1.6720  1.965e-08  2.400e-03
1.6740  1.965e-08  2.327e-03
1.6760  1.965e-08  2.327e-03
1.6780  1.965e-08  2.327e-03
1.6800  1.965e-08  2.258e-03
1.6820  1.965e-08  2.258e-03
1.6832  1.981e-08  2.204e-03
1.6840  1.981e-08  2.204e-03
1.6860  1.981e-08  2.204e-03
1.6880  2.007e-08  2.164e-03
1.6900  2.007e-08  2.164e-03
1.6920  2.007e-08  2.164e-03
1.6940  2.043e-08  2.145e-03
1.6960  2.043e-08  2.145e-03
1.6980  2.076e-08  2.121e-03
1.7000  2.076e-08  2.121e-03
1.7020  2.105e-08  2.085e-03
1.7040  2.105e-08  2.085e-03
1.7060  2.105e-08  2.085e-03
1.7080  2.129e-08  2.031e-03
1.7100  2.129e-08  2.031e-03
1.7120  2.148e-08  1.977e-03
1.7140  2.148e-08  1.977e-03
1.7156  2.148e-08  1.977e-03
1.7160  2.167e-08  1.923e-03
1.7180  2.167e-08  1.923e-03
1.7200  2.167e-08  1.923e-03
1.7220  2.187e-08  1.864e-03
1.7240  2.187e-08  1.864e-03
1.7260  2.233e-08  1.811e-03
1.7280  2.233e-08  1.811e-03
1.7300  2.233e-08  1.811e-03
1.7320  2.293e-08  1.755e-03
1.7340  2.293e-08  1.755e-03
1.7360  2.368e-08  1.706e-03
1.7380  2.368e-08  1.706e-03
1.7400  2.444e-08  1.642e-03
1.7420  2.444e-08  1.642e-03
1.7440  2.444e-08  1.642e-03
1.7460  2.524e-08  1.574e-03
1.7480  2.524e-08  1.574e-03
1.7487  2.524e-08  1.574e-03
1.7500  2.607e-08  1.510e-03
1.7520  2.607e-08  1.510e-03
1.7540  2.607e-08  1.510e-03
1.7560  2.691e-08  1.457e-03
1.7580  2.691e-08  1.457e-03
1.7600  2.769e-08  1.416e-03
1.7620  2.769e-08  1.416e-03
1.7640  2.769e-08  1.416e-03
1.7660  2.838e-08  1.392e-03
1.7680  2.838e-08  1.392e-03
1.7700  2.934e-08  1.370e-03
1.7720  2.934e-08  1.370e-03
1.7740  2.934e-08  1.370e-03
1.7760  3.024e-08  1.350e-03
1.7780  3.024e-08  1.350e-03
1.7800  3.093e-08  1.315e-03
1.7820  3.093e-08  1.315e-03
1.7823  3.093e-08  1.315e-03
