# FASER2 HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# FASER2 and FLArE contours overlap to within line width across
# most of the mass range; values are co-located with FLArE_Umu.dat.
# mass_GeV  u2_min  u2_max
0.4160  2.638e-07  2.638e-07
0.4180  2.638e-07  2.638e-07
0.4182  2.638e-07  2.638e-07
0.4200  2.638e-07  2.638e-07
0.4220  2.638e-07  2.638e-07
0.4240  2.638e-07  2.638e-07
0.4260  2.638e-07  2.638e-07
0.4262  2.638e-07  2.638e-07
0.4280  2.605e-07  2.605e-07
0.4300  2.580e-07  2.580e-07
0.4320  2.580e-07  2.580e-07
0.4340  2.580e-07  2.580e-07
0.4344  2.580e-07  2.580e-07
0.4360  2.570e-07  2.570e-07
0.4380  2.557e-07  2.557e-07
0.4400  2.527e-07  2.527e-07
0.4420  2.495e-07  2.495e-07
0.4428  2.495e-07  2.495e-07
0.4440  2.475e-07  2.475e-07
0.4460  2.432e-07  2.432e-07
0.4480  2.410e-07  2.410e-07
0.4500  2.365e-07  2.365e-07
0.4513  2.342e-07  2.342e-07
0.4600  2.226e-07  2.226e-07
0.4689  2.191e-07  2.191e-07
0.4779  2.095e-07  2.095e-07
0.4871  1.984e-07  1.984e-07
0.4965  1.884e-07  1.884e-07
0.5061  1.868e-07  1.868e-07
0.5158  1.802e-07  1.802e-07
0.5257  1.710e-07  1.710e-07
0.5359  1.648e-07  1.648e-07
0.5462  1.640e-07  1.640e-07
0.5567  1.589e-07  1.589e-07
0.5674  1.508e-07  1.508e-07
0.5784  1.444e-07  1.444e-07
0.5895  1.436e-07  1.436e-07
0.6008  1.380e-07  1.380e-07
0.6124  1.304e-07  1.304e-07
0.6242  1.258e-07  1.258e-07
0.6362  1.246e-07  1.246e-07
0.6485  1.193e-07  1.193e-07
0.6610  1.124e-07  1.124e-07
0.6737  1.079e-07  1.079e-07
0.6867  1.068e-07  1.068e-07
0.6999  1.019e-07  1.019e-07
0.7134  9.692e-08  9.692e-08
0.7271  9.305e-08  9.305e-08
0.7411  9.215e-08  9.215e-08
0.7554  8.808e-08  8.808e-08
0.7700  8.322e-08  8.322e-08
0.7848  8.048e-08  8.048e-08
0.7999  7.851e-08  7.851e-08
0.8153  7.452e-08  7.452e-08
0.8310  6.954e-08  6.954e-08
0.8470  6.687e-08  6.687e-08
0.8633  6.440e-08  6.440e-08
0.8799  5.979e-08  5.979e-08
0.8969  5.637e-08  5.637e-08
0.9142  5.453e-08  5.453e-08
0.9318  5.141e-08  5.141e-08
0.9497  4.748e-08  4.748e-08
0.9680  4.488e-08  4.488e-08
0.9867  4.237e-08  4.237e-08
1.0056  3.929e-08  3.929e-08
1.0250  3.683e-08  3.683e-08
1.0448  3.521e-08  3.521e-08
1.0649  3.311e-08  3.311e-08
1.0854  3.056e-08  3.056e-08
1.1063  2.893e-08  2.893e-08
1.1276  2.787e-08  2.787e-08
1.1493  2.608e-08  2.608e-08
1.1715  2.464e-08  2.464e-08
1.1940  2.397e-08  2.397e-08
1.2170  2.320e-08  2.320e-08
1.2405  2.182e-08  2.223e-08
1.2643  2.067e-08  2.223e-08
1.2887  2.036e-08  2.223e-08
1.3135  1.955e-08  8.187e-03
1.3388  1.858e-08  8.187e-03
1.3646  1.761e-08  8.187e-03
1.3909  1.746e-08  7.854e-03
1.4177  1.710e-08  7.437e-03
1.4450  1.654e-08  6.544e-03
1.4728  1.615e-08  6.223e-03
1.5011  1.610e-08  5.163e-03
1.5301  1.610e-08  4.708e-03
1.5595  1.610e-08  4.177e-03
1.5896  1.650e-08  3.509e-03
1.6000  1.658e-08  3.474e-03
1.6020  1.661e-08  3.467e-03
1.6040  1.661e-08  3.467e-03
1.6060  1.662e-08  3.455e-03
1.6080  1.662e-08  3.455e-03
1.6100  1.664e-08  3.438e-03
1.6120  1.664e-08  3.438e-03
1.6140  1.666e-08  3.395e-03
1.6160  1.666e-08  3.395e-03
1.6180  1.666e-08  3.395e-03
1.6200  1.666e-08  3.327e-03
1.6202  1.666e-08  3.327e-03
1.6220  1.666e-08  3.327e-03
1.6240  1.673e-08  3.235e-03
