# SHiP BC4 dark-scalar sensitivity
# PUBLISHED SOURCE (cite this): arXiv:2310.17726 (PBC, Post-LS3 Options in
# ECN3), Fig 9-PhysicsPotential/BC4.pdf, red SHiP curve.
# Traced from the identical, cleaner two-colour rendering in
# arXiv:2504.06692 figs/BC4.pdf (SHiP source figure, commented out of the
# published PDF); verified to overlay the 2310.17726 SHiP contour.
# Date: 2026-07-11
# Source y axis is theta^2 (= sin^2 theta at these mixings).
# Clipped to the figure frame m_S in [0.1, 5.5] GeV.
# Format: chains separated by blank line; each row "mass_GeV  sin2theta"
# chain: 627 vertices
1.601568e+00  4.796010e-12
1.569889e+00  4.862837e-12
1.566067e+00  4.870784e-12
1.563166e+00  4.876314e-12
1.542385e+00  4.922551e-12
1.525633e+00  4.959369e-12
1.523351e+00  4.965000e-12
1.520338e+00  4.971702e-12
1.489002e+00  5.042757e-12
1.481860e+00  5.056732e-12
1.472694e+00  5.077592e-12
1.452923e+00  5.121378e-12
1.441452e+00  5.147239e-12
1.426816e+00  5.180215e-12
1.417672e+00  5.201584e-12
1.402146e+00  5.237879e-12
1.383322e+00  5.283047e-12
1.382333e+00  5.286045e-12
1.363946e+00  5.331628e-12
1.349839e+00  5.367308e-12
1.339315e+00  5.392507e-12
1.326753e+00  5.425515e-12
1.317132e+00  5.450988e-12
1.298013e+00  5.493697e-12
1.290574e+00  5.484354e-12
1.282336e+00  5.475407e-12
1.264468e+00  5.454082e-12
1.255424e+00  5.443639e-12
1.245388e+00  5.431675e-12
1.231780e+00  5.415127e-12
1.221181e+00  5.401319e-12
1.209455e+00  5.387920e-12
1.199906e+00  5.376079e-12
1.187881e+00  5.361221e-12
1.174607e+00  5.343371e-12
1.168857e+00  5.337312e-12
1.155527e+00  5.319911e-12
1.140716e+00  5.300695e-12
1.138678e+00  5.297688e-12
1.124018e+00  5.278553e-12
1.109251e+00  5.259486e-12
1.107803e+00  5.256867e-12
1.093359e+00  5.101785e-12
1.089319e+00  5.014922e-12
1.084979e+00  4.922551e-12
1.073784e+00  4.691998e-12
1.063544e+00  4.487182e-12
1.058479e+00  4.390172e-12
1.053096e+00  4.285522e-12
1.044677e+00  4.081330e-12
1.041528e+00  3.998484e-12
1.034577e+00  3.817703e-12
1.032557e+00  3.767115e-12
1.031116e+00  3.730931e-12
1.021980e+00  3.508070e-12
1.020620e+00  3.476105e-12
1.007346e+00  3.247884e-12
1.006852e+00  3.239827e-12
1.006366e+00  3.230873e-12
9.932357e-01  3.019609e-12
9.895004e-01  2.983826e-12
9.800646e-01  3.229040e-12
9.795592e-01  3.247884e-12
9.792335e-01  3.252494e-12
9.789159e-01  3.259658e-12
9.690488e-01  3.545354e-12
9.632069e-01  3.730931e-12
9.589941e-01  3.865680e-12
9.522540e-01  4.096125e-12
9.488544e-01  4.208973e-12
9.463008e-01  4.285522e-12
9.375186e-01  4.552288e-12
9.262874e-01  4.918364e-12
9.261950e-01  4.922551e-12
