# SHiP curve of the PBC BC5 figure -- cross-check only (plot ship_bc4.dat instead)
# Extracted from arXiv:2505.00947v2 / pbc_bc5_gray_final.pdf
# Date: 2026-07-11
# Source y axis is sin(theta); values below are squared to sin^2(theta).
# Format: chains separated by blank line; each row "mass_GeV  sin2theta"
# chain: 216 vertices
2.114468e-01  8.455983e-09
2.103469e-01  1.925061e-08
2.100273e-01  2.323897e-08
2.078851e-01  2.416150e-08
2.049938e-01  2.492473e-08
2.048624e-01  2.547238e-08
1.910706e-01  2.721333e-08
1.504643e-01  3.309115e-08
1.397773e-01  3.357701e-08
1.000759e-01  4.240196e-08
9.943079e-02  4.559419e-08
9.860305e-02  4.655429e-08
9.267332e-02  4.890556e-08
8.360077e-02  5.238112e-08
7.339817e-02  5.355680e-08
5.964327e-02  6.346714e-08
5.118482e-02  7.213217e-08
5.098915e-02  7.346294e-08
5.089548e-02  8.060302e-08
5.071684e-02  8.244253e-08
5.000653e-02  8.309071e-08
4.768525e-02  8.444114e-08
3.293630e-02  1.147454e-07
3.004596e-02  1.161773e-07
2.100002e-02  1.619928e-07
2.100002e-02  1.656001e-07

# chain: 8 vertices
6.317557e-01  2.018405e-14
6.404180e-01  3.169263e-14
6.491991e-01  4.976322e-14
6.581006e-01  7.813738e-14
6.671241e-01  1.226900e-13
6.762713e-01  1.926459e-13
6.855440e-01  3.024895e-13
6.949438e-01  4.749637e-13
