# ANUBIS HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# mass_GeV  u2_min  u2_max
0.4428  6.302e-05  6.302e-05
0.4440  6.228e-05  6.228e-05
0.4460  6.108e-05  6.108e-05
0.4480  5.990e-05  5.990e-05
0.4500  5.875e-05  5.875e-05
0.4513  5.800e-05  5.800e-05
0.4600  5.338e-05  5.338e-05
0.4689  4.913e-05  4.913e-05
0.4779  4.522e-05  4.522e-05
0.4813  4.385e-05  4.385e-05
0.4871  4.172e-05  4.172e-05
0.4965  3.854e-05  3.854e-05
0.5061  3.560e-05  3.560e-05
0.5158  3.289e-05  3.289e-05
0.5257  3.038e-05  3.038e-05
0.5313  2.909e-05  2.909e-05
0.5359  2.811e-05  2.811e-05
0.5462  2.606e-05  2.606e-05
0.5567  2.416e-05  2.416e-05
0.5674  2.239e-05  2.239e-05
0.5784  2.076e-05  2.076e-05
0.5888  1.933e-05  1.933e-05
0.5895  1.925e-05  1.925e-05
0.6008  1.790e-05  1.790e-05
0.6124  1.665e-05  1.665e-05
0.6242  1.548e-05  1.548e-05
0.6362  1.439e-05  1.439e-05
0.6485  1.339e-05  1.339e-05
0.6554  1.286e-05  1.286e-05
0.6610  1.246e-05  1.246e-05
0.6737  1.162e-05  1.162e-05
0.6867  1.084e-05  1.084e-05
0.6999  1.011e-05  1.011e-05
0.7134  9.426e-06  9.426e-06
0.7271  8.790e-06  8.790e-06
0.7325  8.554e-06  8.554e-06
0.7411  8.205e-06  8.205e-06
0.7554  7.664e-06  7.664e-06
0.7700  7.159e-06  7.159e-06
0.7848  6.687e-06  6.687e-06
0.7999  6.246e-06  6.246e-06
0.8153  5.834e-06  5.834e-06
0.8225  5.654e-06  5.654e-06
0.8310  5.453e-06  5.453e-06
0.8470  5.101e-06  5.101e-06
0.8633  4.771e-06  4.771e-06
0.8799  4.463e-06  4.463e-06
0.8969  4.174e-06  4.174e-06
0.9142  3.904e-06  3.904e-06
0.9276  3.709e-06  3.709e-06
0.9318  3.653e-06  3.653e-06
0.9424  3.513e-06  7.023e-02
0.9497  3.421e-06  6.706e-02
0.9680  3.204e-06  5.982e-02
0.9862  3.006e-06  5.351e-02
0.9867  3.001e-06  5.336e-02
1.0056  2.810e-06  4.757e-02
1.0250  2.632e-06  4.241e-02
1.0448  2.465e-06  3.781e-02
1.0511  2.415e-06  3.646e-02
1.0573  2.367e-06  3.519e-02
1.0649  2.311e-06  3.370e-02
1.0854  2.167e-06  3.002e-02
1.1063  2.031e-06  2.675e-02
1.1276  1.905e-06  2.383e-02
1.1331  1.874e-06  2.314e-02
1.1493  1.786e-06  2.122e-02
1.1715  1.675e-06  1.889e-02
