# FASER2 HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# FASER2 and FLArE contours overlap closely; vector paths give two
# independent extractions and reveal whether/where they differ.
# mass_GeV  u2_min  u2_max
0.3700  1.018e-07  1.018e-07
0.3720  1.103e-07  1.103e-07
0.3729  1.145e-07  1.145e-07
0.3740  1.194e-07  1.194e-07
0.3760  1.293e-07  1.293e-07
0.3780  1.399e-07  1.399e-07
0.3800  1.513e-07  1.513e-07
0.3801  1.520e-07  1.520e-07
0.3812  1.585e-07  1.585e-07
0.3820  1.637e-07  1.637e-07
0.3840  1.773e-07  1.773e-07
0.3860  1.920e-07  1.920e-07
0.3875  2.033e-07  2.033e-07
0.3880  2.078e-07  2.078e-07
0.3900  2.248e-07  2.248e-07
0.3920  2.431e-07  2.431e-07
0.3928  2.512e-07  2.512e-07
0.3940  2.638e-07  2.638e-07
0.3949  2.742e-07  2.742e-07
0.3960  2.870e-07  2.870e-07
0.3980  3.121e-07  3.121e-07
0.3981  3.135e-07  3.135e-07
0.4000  3.101e-07  3.101e-07
0.4020  3.066e-07  3.066e-07
0.4025  3.057e-07  3.057e-07
0.4040  3.032e-07  3.032e-07
0.4060  2.998e-07  2.998e-07
0.4080  2.965e-07  2.965e-07
0.4100  2.932e-07  2.932e-07
0.4103  2.927e-07  2.927e-07
0.4120  2.899e-07  2.899e-07
0.4140  2.867e-07  2.867e-07
0.4160  2.836e-07  2.836e-07
0.4180  2.805e-07  2.805e-07
0.4182  2.803e-07  2.803e-07
0.4200  2.775e-07  2.775e-07
0.4220  2.745e-07  2.745e-07
0.4240  2.716e-07  2.716e-07
0.4260  2.687e-07  2.687e-07
0.4262  2.684e-07  2.684e-07
0.4280  2.658e-07  2.658e-07
0.4300  2.630e-07  2.630e-07
0.4320  2.602e-07  2.602e-07
0.4340  2.575e-07  2.575e-07
0.4344  2.569e-07  2.569e-07
0.4360  2.548e-07  2.548e-07
0.4380  2.522e-07  2.522e-07
0.4388  2.512e-07  2.512e-07
0.4400  2.497e-07  2.497e-07
0.4420  2.474e-07  2.474e-07
0.4428  2.465e-07  2.465e-07
0.4440  2.452e-07  2.452e-07
0.4460  2.429e-07  2.429e-07
0.4467  2.422e-07  2.422e-07
0.4480  2.406e-07  2.406e-07
0.4500  2.382e-07  2.382e-07
0.4513  2.366e-07  2.366e-07
0.4600  2.268e-07  2.268e-07
0.4689  2.173e-07  2.173e-07
0.4779  2.083e-07  2.083e-07
0.4871  1.996e-07  1.996e-07
0.4965  1.913e-07  1.913e-07
0.5012  1.873e-07  1.873e-07
0.5061  1.844e-07  1.844e-07
0.5158  1.787e-07  1.787e-07
0.5257  1.732e-07  1.732e-07
0.5359  1.679e-07  1.679e-07
0.5462  1.628e-07  1.628e-07
0.5552  1.585e-07  1.585e-07
0.5567  1.579e-07  1.579e-07
0.5623  1.556e-07  1.556e-07
0.5674  1.530e-07  1.530e-07
0.5784  1.475e-07  1.475e-07
0.5895  1.423e-07  1.423e-07
0.6008  1.372e-07  1.372e-07
0.6124  1.324e-07  1.324e-07
0.6242  1.277e-07  1.277e-07
0.6310  1.251e-07  1.251e-07
0.6362  1.230e-07  1.230e-07
0.6485  1.184e-07  1.184e-07
0.6610  1.140e-07  1.140e-07
0.6737  1.097e-07  1.097e-07
0.6867  1.055e-07  1.055e-07
0.6999  1.016e-07  1.016e-07
0.7054  1.000e-07  1.000e-07
0.7079  9.935e-08  9.935e-08
0.7134  9.791e-08  9.791e-08
0.7271  9.443e-08  9.443e-08
0.7411  9.107e-08  9.107e-08
0.7554  8.784e-08  8.784e-08
0.7700  8.471e-08  8.471e-08
0.7848  8.170e-08  8.170e-08
0.7943  7.985e-08  7.985e-08
0.7999  7.835e-08  7.835e-08
0.8153  7.441e-08  7.441e-08
0.8310  7.066e-08  7.066e-08
0.8470  6.710e-08  6.710e-08
0.8633  6.372e-08  6.372e-08
0.8665  6.310e-08  6.310e-08
0.8799  6.075e-08  6.075e-08
0.8913  5.887e-08  5.887e-08
0.8969  5.768e-08  5.768e-08
0.9142  5.421e-08  5.421e-08
0.9318  5.095e-08  5.095e-08
0.9497  4.789e-08  4.789e-08
0.9680  4.501e-08  4.501e-08
0.9867  4.230e-08  4.230e-08
1.0000  4.049e-08  4.049e-08
1.0048  3.981e-08  3.981e-08
1.0056  3.970e-08  3.970e-08
1.0134  3.871e-08  3.871e-08
1.0250  3.729e-08  6.456e-02
1.0282  3.691e-08  6.310e-02
1.0448  3.503e-08  5.692e-02
1.0649  3.290e-08  5.033e-02
1.0854  3.091e-08  4.451e-02
1.1043  2.920e-08  3.981e-02
1.1063  2.903e-08  3.939e-02
1.1220  2.772e-08  3.622e-02
1.1276  2.738e-08  3.498e-02
1.1493  2.612e-08  3.059e-02
1.1678  2.512e-08  2.735e-02
1.1715  2.494e-08  2.675e-02
1.1820  2.446e-08  2.512e-02
1.1940  2.391e-08  2.366e-02
1.2170  2.292e-08  2.114e-02
1.2405  2.197e-08  1.888e-02
1.2589  2.127e-08  1.730e-02
1.2643  2.108e-08  1.676e-02
1.2739  2.075e-08  1.585e-02
1.2887  2.026e-08  1.465e-02
1.3135  1.948e-08  1.287e-02
1.3388  1.873e-08  1.130e-02
1.3630  1.805e-08  1.000e-02
1.3646  1.800e-08  9.930e-03
1.3909  1.731e-08  8.847e-03
1.4125  1.676e-08  8.056e-03
1.4177  1.673e-08  7.843e-03
1.4450  1.656e-08  6.810e-03
1.4600  1.647e-08  6.310e-03
1.4728  1.640e-08  5.968e-03
1.5011  1.623e-08  5.288e-03
1.5301  1.607e-08  4.684e-03
1.5595  1.591e-08  4.150e-03
1.5698  1.586e-08  3.981e-03
1.5710  1.585e-08  3.962e-03
1.5849  1.579e-08  3.758e-03
1.5872  1.585e-08  3.713e-03
1.5896  1.593e-08  3.666e-03
1.6000  1.628e-08  3.470e-03
1.6020  1.635e-08  3.434e-03
1.6040  1.642e-08  3.398e-03
1.6060  1.649e-08  3.363e-03
1.6080  1.656e-08  3.328e-03
1.6100  1.663e-08  3.293e-03
1.6120  1.670e-08  3.259e-03
1.6140  1.677e-08  3.225e-03
1.6160  1.684e-08  3.192e-03
1.6180  1.690e-08  3.159e-03
1.6200  1.698e-08  3.126e-03
1.6202  1.698e-08  3.123e-03
1.6220  1.705e-08  3.094e-03
1.6240  1.712e-08  3.062e-03
1.6260  1.719e-08  3.031e-03
1.6280  1.726e-08  3.000e-03
1.6300  1.733e-08  2.969e-03
1.6320  1.740e-08  2.939e-03
1.6340  1.747e-08  2.908e-03
1.6360  1.754e-08  2.879e-03
1.6380  1.762e-08  2.849e-03
1.6400  1.769e-08  2.820e-03
1.6420  1.776e-08  2.792e-03
1.6440  1.783e-08  2.763e-03
1.6460  1.791e-08  2.735e-03
1.6480  1.798e-08  2.707e-03
1.6500  1.805e-08  2.680e-03
1.6514  1.810e-08  2.661e-03
1.6520  1.813e-08  2.653e-03
1.6540  1.820e-08  2.626e-03
1.6560  1.827e-08  2.600e-03
1.6580  1.835e-08  2.573e-03
1.6600  1.842e-08  2.547e-03
1.6620  1.850e-08  2.522e-03
1.6628  1.853e-08  2.512e-03
1.6640  1.857e-08  2.499e-03
1.6660  1.865e-08  2.478e-03
1.6680  1.872e-08  2.457e-03
1.6700  1.880e-08  2.437e-03
1.6720  1.887e-08  2.416e-03
1.6740  1.895e-08  2.396e-03
1.6760  1.902e-08  2.376e-03
1.6780  1.910e-08  2.356e-03
1.6800  1.918e-08  2.337e-03
