# CODEX-b HNL |Umu|^2 sensitivity (BC7 benchmark)
# Digitized from arXiv:2505.00947v2, fig:pbc_bc7_gray_final, 2026-06-06
# Method: vector extraction from PDF path operators (PyMuPDF)
# Source file: Figures/5-PhysicsReach/BSM_benchmarks/pbc_bc7_gray_final.pdf
# mass_GeV  u2_min  u2_max
0.4160  2.427e-07  2.427e-07
0.4180  2.392e-07  2.392e-07
0.4182  2.389e-07  2.389e-07
0.4200  2.357e-07  2.357e-07
0.4220  2.323e-07  2.323e-07
0.4240  2.290e-07  2.290e-07
0.4260  2.257e-07  2.257e-07
0.4262  2.253e-07  2.253e-07
0.4280  2.225e-07  2.225e-07
0.4300  2.193e-07  2.193e-07
0.4320  2.162e-07  2.162e-07
0.4340  2.132e-07  2.132e-07
0.4344  2.126e-07  2.126e-07
0.4360  2.102e-07  2.102e-07
0.4380  2.073e-07  2.073e-07
0.4400  2.044e-07  2.044e-07
0.4420  2.016e-07  2.016e-07
0.4428  2.005e-07  2.005e-07
0.4440  1.989e-07  1.989e-07
0.4460  1.961e-07  1.961e-07
0.4480  1.935e-07  1.935e-07
0.4500  1.909e-07  1.909e-07
0.4513  1.891e-07  1.891e-07
0.4600  1.784e-07  1.784e-07
0.4689  1.683e-07  1.683e-07
0.4779  1.588e-07  1.588e-07
0.4871  1.498e-07  1.498e-07
0.4965  1.413e-07  1.413e-07
0.5000  1.383e-07  1.383e-07
0.5061  1.345e-07  1.345e-07
0.5158  1.286e-07  1.286e-07
0.5257  1.231e-07  1.231e-07
0.5359  1.177e-07  1.177e-07
0.5462  1.126e-07  1.126e-07
0.5567  1.077e-07  1.077e-07
0.5674  1.031e-07  1.031e-07
0.5784  9.861e-08  9.861e-08
0.5895  9.434e-08  9.434e-08
0.6008  9.025e-08  9.025e-08
0.6124  8.634e-08  8.634e-08
0.6242  8.260e-08  8.260e-08
0.6362  7.902e-08  7.902e-08
0.6485  7.560e-08  7.560e-08
0.6610  7.232e-08  7.232e-08
0.6737  6.919e-08  6.919e-08
0.6867  6.619e-08  6.619e-08
0.6999  6.332e-08  6.332e-08
0.7134  6.058e-08  6.058e-08
0.7271  5.795e-08  5.795e-08
0.7411  5.544e-08  5.544e-08
0.7554  5.304e-08  5.304e-08
0.7700  5.074e-08  5.074e-08
0.7848  4.854e-08  4.854e-08
0.7999  4.644e-08  4.644e-08
0.8000  4.642e-08  4.642e-08
0.8153  4.448e-08  4.448e-08
0.8214  4.373e-08  7.023e-02
0.8310  4.260e-08  6.484e-02
0.8470  4.080e-08  5.688e-02
0.8633  3.908e-08  4.989e-02
0.8799  3.743e-08  4.376e-02
0.8969  3.585e-08  3.839e-02
0.9142  3.433e-08  3.368e-02
0.9318  3.288e-08  2.954e-02
0.9497  3.149e-08  2.591e-02
0.9680  3.016e-08  2.273e-02
0.9867  2.889e-08  1.994e-02
1.0000  2.803e-08  1.818e-02
1.0056  2.781e-08  1.701e-02
1.0250  2.709e-08  1.359e-02
1.0448  2.639e-08  1.085e-02
1.0649  2.571e-08  8.670e-03
1.0854  2.505e-08  6.926e-03
1.1000  2.459e-08  5.917e-03
1.1063  2.417e-08  5.903e-03
1.1276  2.282e-08  5.859e-03
1.1493  2.155e-08  5.815e-03
1.1715  2.034e-08  5.772e-03
1.1940  1.920e-08  5.729e-03
1.2000  1.891e-08  5.718e-03
1.2170  1.857e-08  5.131e-03
1.2405  1.811e-08  4.430e-03
1.2643  1.767e-08  3.825e-03
1.2887  1.723e-08  3.302e-03
1.3135  1.681e-08  2.851e-03
